NAME: F-n45-k4_2 
DIMENSION: 45 
CAPACITY: 2010 
VEHICLES: 4 
No         x_pos      y_pos      demand     release    due        
1          0.00000    0.00000    0          0          999999999  
2          3.00000    5.00000    33         4          130        
3          2.50000    9.00000    15         17         142        
4          48.00000   16.00000   10         14         154        
5          48.00000   17.00000   40         13         150        
6          69.00000   16.00000   15         3          143        
7          70.00000   16.00000   5          13         149        
8          64.00000   13.00000   77         16         122        
9          3.00000    -22.00000  435        8          135        
10         2.50000    1.00000    165        7          110        
11         -13.00000  11.50000   120        14         129        
12         -20.00000  45.00000   65         6          112        
13         -9.00000   52.00000   23         16         153        
14         -8.50000   53.00000   18         1          133        
15         -8.00000   52.00000   550        12         132        
16         2.00000    2.00000    78         14         154        
17         -2.00000   9.00000    627        6          146        
18         -10.00000  20.00000   9          10         137        
19         -20.00000  19.00000   96         17         151        
20         -15.00000  -21.00000  116        6          101        
21         -5.00000   -9.00000   116        4          114        
22         -4.50000   -9.00000   83         1          139        
23         -52.00000  -36.00000  41         9          131        
24         -53.00000  -36.00000  645        12         138        
25         0.00000    0.01000    694        5          142        
26         -30.00000  -18.00000  573        16         117        
27         -51.00000  -35.00000  1          6          128        
28         81.00000   9.00000    181        16         112        
29         84.00000   -99.00000  106        7          138        
30         82.00000   -6.00000   52         14         114        
31         40.00000   -12.00000  117        18         160        
32         50.00000   -7.00000   52         2          101        
33         51.00000   -8.00000   1300       11         161        
34         63.00000   -17.00000  57         10         151        
35         45.00000   -1.00000   28         1          122        
36         54.00000   8.50000    84         3          124        
37         29.00000   4.00000    1          11         148        
38         21.00000   3.00000    54         10         143        
39         22.00000   2.00000    19         9          120        
40         39.00000   -3.00000   88         12         110        
41         39.50000   -3.00000   41         18         150        
42         40.00000   -11.00000  238        12         153        
43         28.00000   -2.00000   66         10         135        
44         24.00000   -18.00000  44         8          161        
45         24.00000   -19.00000  42         1          126        
