NAME: A-n46-k7_5 
DIMENSION: 46 
CAPACITY: 100 
VEHICLES: 7 
No         x_pos      y_pos      demand     release    due        
1          75.00000   55.00000   0          0          999999999  
2          7.00000    75.00000   12         2          69         
3          77.00000   1.00000    26         8          66         
4          51.00000   25.00000   1          1          55         
5          81.00000   25.00000   20         23         95         
6          59.00000   37.00000   2          30         105        
7          93.00000   45.00000   13         19         77         
8          43.00000   21.00000   20         6          54         
9          35.00000   53.00000   7          17         69         
10         77.00000   63.00000   10         19         83         
11         37.00000   13.00000   15         7          59         
12         37.00000   51.00000   7          11         66         
13         27.00000   31.00000   24         24         84         
14         95.00000   31.00000   10         19         76         
15         87.00000   43.00000   12         5          61         
16         23.00000   65.00000   23         13         73         
17         9.00000    51.00000   13         14         68         
18         73.00000   81.00000   19         20         67         
19         3.00000    1.00000    9          1          68         
20         41.00000   61.00000   12         20         71         
21         29.00000   81.00000   6          31         102        
22         51.00000   95.00000   9          4          63         
23         49.00000   25.00000   22         25         81         
24         81.00000   53.00000   18         33         102        
25         7.00000    51.00000   19         21         90         
26         21.00000   5.00000    20         24         76         
27         91.00000   35.00000   24         10         60         
28         17.00000   81.00000   10         16         68         
29         61.00000   69.00000   4          2          68         
30         27.00000   97.00000   20         13         85         
31         83.00000   23.00000   15         12         74         
32         21.00000   93.00000   13         10         61         
33         59.00000   31.00000   12         27         95         
34         27.00000   53.00000   3          15         89         
35         9.00000    91.00000   7          27         80         
36         11.00000   27.00000   18         27         100        
37         59.00000   41.00000   3          10         63         
38         67.00000   1.00000    23         3          75         
39         77.00000   39.00000   1          2          75         
40         47.00000   29.00000   17         22         84         
41         3.00000    89.00000   13         15         76         
42         33.00000   87.00000   6          30         104        
43         17.00000   45.00000   22         14         62         
44         91.00000   41.00000   20         6          68         
45         23.00000   3.00000    21         18         83         
46         97.00000   61.00000   2          31         100        
