NAME: A-n55-k9_2 
DIMENSION: 55 
CAPACITY: 100 
VEHICLES: 9 
No         x_pos      y_pos      demand     release    due        
1          36.00000   64.00000   0          0          999999999  
2          94.00000   47.00000   3          9          59         
3          10.00000   23.00000   12         2          47         
4          16.00000   46.00000   25         3          60         
5          25.00000   79.00000   4          12         77         
6          41.00000   30.00000   11         6          56         
7          81.00000   45.00000   20         11         75         
8          14.00000   79.00000   21         10         64         
9          42.00000   56.00000   10         1          58         
10         90.00000   17.00000   20         10         79         
11         41.00000   39.00000   13         9          70         
12         21.00000   14.00000   14         11         80         
13         41.00000   46.00000   16         7          51         
14         65.00000   96.00000   17         8          75         
15         13.00000   49.00000   11         2          45         
16         21.00000   14.00000   36         3          48         
17         57.00000   2.00000    6          1          60         
18         14.00000   42.00000   7          6          58         
19         66.00000   62.00000   21         4          55         
20         58.00000   96.00000   11         4          68         
21         5.00000    51.00000   17         6          56         
22         41.00000   50.00000   22         3          62         
23         50.00000   99.00000   10         12         67         
24         84.00000   85.00000   19         12         62         
25         97.00000   90.00000   21         8          73         
26         47.00000   76.00000   23         1          59         
27         11.00000   54.00000   19         11         55         
28         60.00000   97.00000   15         9          58         
29         60.00000   89.00000   22         1          48         
30         58.00000   68.00000   7          12         69         
31         30.00000   93.00000   11         4          51         
32         9.00000    60.00000   15         10         66         
33         47.00000   44.00000   22         6          68         
34         19.00000   40.00000   12         8          76         
35         15.00000   40.00000   24         6          69         
36         88.00000   21.00000   25         7          51         
37         33.00000   58.00000   2          3          71         
38         21.00000   51.00000   15         8          77         
39         57.00000   7.00000    18         2          61         
40         81.00000   6.00000    13         6          75         
41         49.00000   6.00000    3          7          58         
42         51.00000   78.00000   20         6          73         
43         9.00000    62.00000   14         11         53         
44         84.00000   36.00000   10         12         67         
45         95.00000   76.00000   10         12         58         
46         89.00000   44.00000   66         9          60         
47         10.00000   49.00000   10         3          50         
48         69.00000   16.00000   7          1          59         
49         75.00000   66.00000   12         3          63         
50         97.00000   11.00000   24         7          59         
51         74.00000   69.00000   5          8          51         
52         1.00000    14.00000   18         5          48         
53         96.00000   91.00000   7          8          51         
54         46.00000   22.00000   11         11         55         
55         74.00000   92.00000   12         4          46         
