NAME: B-n31-k5_3 
DIMENSION: 31 
CAPACITY: 100 
VEHICLES: 5 
No         x_pos      y_pos      demand     release    due        
1          17.00000   76.00000   0          0          999999999  
2          24.00000   6.00000    25         11         36         
3          96.00000   29.00000   3          6          33         
4          14.00000   19.00000   13         15         44         
5          14.00000   32.00000   17         4          30         
6          0.00000    34.00000   16         14         49         
7          16.00000   22.00000   9          4          29         
8          20.00000   26.00000   22         8          34         
9          22.00000   28.00000   10         13         38         
10         17.00000   23.00000   16         16         42         
11         98.00000   30.00000   8          2          31         
12         30.00000   8.00000    3          19         46         
13         23.00000   27.00000   16         16         52         
14         19.00000   23.00000   16         10         39         
15         34.00000   7.00000    10         9          34         
16         31.00000   7.00000    24         9          45         
17         0.00000    37.00000   16         7          44         
18         19.00000   23.00000   15         11         40         
19         0.00000    36.00000   14         11         35         
20         26.00000   7.00000    5          17         43         
21         98.00000   32.00000   12         16         44         
22         5.00000    40.00000   2          13         44         
23         17.00000   26.00000   18         8          34         
24         21.00000   26.00000   20         17         48         
25         28.00000   8.00000    15         11         44         
26         1.00000    35.00000   8          8          33         
27         27.00000   28.00000   22         19         43         
28         99.00000   30.00000   15         18         45         
29         26.00000   28.00000   10         12         39         
30         17.00000   29.00000   13         13         41         
31         20.00000   26.00000   19         12         42         
