NAME: E-n51-k5_3 
DIMENSION: 51 
CAPACITY: 160 
VEHICLES: 5 
No         x_pos      y_pos      demand     release    due        
1          30.00000   40.00000   0          0          999999999  
2          37.00000   52.00000   7          10         75         
3          49.00000   49.00000   30         4          91         
4          52.00000   64.00000   16         4          86         
5          20.00000   26.00000   9          11         79         
6          40.00000   30.00000   21         9          83         
7          21.00000   47.00000   15         5          60         
8          17.00000   63.00000   19         6          70         
9          31.00000   62.00000   23         16         70         
10         52.00000   33.00000   11         8          88         
11         51.00000   21.00000   5          4          67         
12         42.00000   41.00000   19         11         73         
13         31.00000   32.00000   29         11         81         
14         5.00000    25.00000   23         12         94         
15         12.00000   42.00000   21         6          66         
16         36.00000   16.00000   10         14         90         
17         52.00000   41.00000   15         15         98         
18         27.00000   23.00000   3          1          73         
19         17.00000   33.00000   41         1          56         
20         13.00000   13.00000   9          9          79         
21         57.00000   58.00000   28         12         81         
22         62.00000   42.00000   8          9          65         
23         42.00000   57.00000   8          1          73         
24         16.00000   57.00000   16         16         87         
25         8.00000    52.00000   10         12         83         
26         7.00000    38.00000   28         14         69         
27         27.00000   68.00000   7          1          69         
28         30.00000   48.00000   15         16         101        
29         43.00000   67.00000   14         4          63         
30         58.00000   48.00000   6          14         69         
31         58.00000   27.00000   19         7          64         
32         37.00000   69.00000   11         9          96         
33         38.00000   46.00000   12         4          78         
34         46.00000   10.00000   23         14         75         
35         61.00000   33.00000   26         7          94         
36         62.00000   63.00000   17         1          59         
37         63.00000   69.00000   6          9          98         
38         32.00000   22.00000   9          7          61         
39         45.00000   35.00000   15         13         84         
40         59.00000   15.00000   14         13         83         
41         5.00000    6.00000    7          1          65         
42         10.00000   17.00000   27         16         77         
43         21.00000   10.00000   13         4          85         
44         5.00000    64.00000   11         11         91         
45         30.00000   15.00000   16         6          68         
46         39.00000   10.00000   10         3          73         
47         32.00000   39.00000   5          11         80         
48         25.00000   32.00000   25         5          88         
49         25.00000   55.00000   17         15         100        
50         48.00000   28.00000   18         12         82         
51         56.00000   37.00000   10         12         95         
