NAME: E-n76-k7_4 
DIMENSION: 76 
CAPACITY: 220 
VEHICLES: 7 
No         x_pos      y_pos      demand     release    due        
1          40.00000   40.00000   0          0          999999999  
2          22.00000   22.00000   18         2          70         
3          36.00000   26.00000   26         15         105        
4          21.00000   45.00000   11         2          97         
5          45.00000   35.00000   30         7          83         
6          55.00000   20.00000   21         3          72         
7          33.00000   34.00000   19         1          91         
8          50.00000   50.00000   15         14         89         
9          55.00000   45.00000   16         15         99         
10         26.00000   59.00000   29         11         69         
11         40.00000   66.00000   26         19         91         
12         55.00000   65.00000   37         12         85         
13         35.00000   51.00000   16         6          78         
14         62.00000   35.00000   12         12         86         
15         62.00000   57.00000   31         4          89         
16         62.00000   24.00000   8          5          78         
17         21.00000   36.00000   19         2          79         
18         33.00000   44.00000   20         13         80         
19         9.00000    56.00000   13         17         83         
20         62.00000   48.00000   15         19         89         
21         66.00000   14.00000   22         17         86         
22         44.00000   13.00000   28         4          81         
23         26.00000   13.00000   12         15         76         
24         11.00000   28.00000   6          4          72         
25         7.00000    43.00000   27         2          80         
26         17.00000   64.00000   14         9          103        
27         41.00000   46.00000   18         10         94         
28         55.00000   34.00000   17         13         76         
29         35.00000   16.00000   29         17         108        
30         52.00000   26.00000   13         12         84         
31         43.00000   26.00000   22         16         85         
32         31.00000   76.00000   25         5          64         
33         22.00000   53.00000   28         6          68         
34         26.00000   29.00000   27         8          70         
35         50.00000   40.00000   19         5          83         
36         55.00000   50.00000   10         18         77         
37         54.00000   10.00000   12         16         101        
38         60.00000   15.00000   14         15         77         
39         47.00000   66.00000   24         2          77         
40         30.00000   60.00000   16         4          100        
41         30.00000   50.00000   33         5          70         
42         12.00000   17.00000   15         14         77         
43         15.00000   14.00000   11         2          81         
44         16.00000   19.00000   18         12         76         
45         21.00000   48.00000   17         13         85         
46         50.00000   30.00000   21         7          88         
47         51.00000   42.00000   27         19         79         
48         50.00000   15.00000   19         7          79         
49         48.00000   21.00000   20         16         104        
50         12.00000   38.00000   5          3          90         
51         15.00000   56.00000   22         10         68         
52         29.00000   39.00000   12         10         87         
53         54.00000   38.00000   19         2          78         
54         55.00000   57.00000   22         12         71         
55         67.00000   41.00000   16         17         93         
56         10.00000   70.00000   7          18         86         
57         6.00000    25.00000   26         8          75         
58         65.00000   27.00000   14         5          87         
59         40.00000   60.00000   21         1          70         
60         70.00000   64.00000   24         5          76         
61         64.00000   4.00000    13         4          97         
62         36.00000   6.00000    15         9          106        
63         30.00000   20.00000   18         5          92         
64         20.00000   30.00000   11         10         94         
65         15.00000   5.00000    28         19         114        
66         50.00000   70.00000   9          5          65         
67         57.00000   72.00000   37         1          90         
68         45.00000   42.00000   30         15         106        
69         38.00000   33.00000   10         1          79         
70         50.00000   4.00000    8          9          98         
71         66.00000   8.00000    11         18         83         
72         59.00000   5.00000    3          19         99         
73         35.00000   60.00000   1          13         86         
74         27.00000   24.00000   6          5          95         
75         40.00000   20.00000   10         11         72         
76         40.00000   37.00000   20         12         85         
