NAME: P-n16-k8_1 
DIMENSION: 16 
CAPACITY: 35 
VEHICLES: 8 
No         x_pos      y_pos      demand     release    due        
1          30.00000   40.00000   0          0          999999999  
2          37.00000   52.00000   19         3          11         
3          49.00000   49.00000   30         3          12         
4          52.00000   64.00000   16         1          12         
5          31.00000   62.00000   23         3          14         
6          52.00000   33.00000   11         2          14         
7          42.00000   41.00000   31         1          11         
8          52.00000   41.00000   15         1          8          
9          57.00000   58.00000   28         2          13         
10         62.00000   42.00000   8          3          15         
11         42.00000   57.00000   8          3          13         
12         27.00000   68.00000   7          1          12         
13         43.00000   67.00000   14         3          14         
14         58.00000   48.00000   6          3          12         
15         58.00000   27.00000   19         2          12         
16         37.00000   69.00000   11         3          11         
