NAME: F-n72-k4_3 
DIMENSION: 72 
CAPACITY: 30000 
VEHICLES: 4 
No         x_pos      y_pos      demand     release    due        
1          0.00000    0.00000    0          0          999999999  
2          -12.00000  -6.00000   7063       5          39         
3          -15.00000  -5.00000   51         3          53         
4          -1.00000   -18.00000  23         6          58         
5          2.00000    -21.00000  3074       4          44         
6          -1.00000   -17.00000  349        4          50         
7          -9.00000   -12.00000  1047       9          59         
8          2.00000    -22.00000  698        6          41         
9          1.00000    -21.00000  3001       2          44         
10         7.00000    -25.00000  31         8          50         
11         -7.00000   -17.00000  1135       3          55         
12         -11.00000  -5.00000   21611      2          37         
13         -14.00000  -9.00000   57         6          46         
14         -14.00000  -8.00000   51         6          48         
15         -11.00000  -2.00000   551        7          58         
16         -14.00000  -5.00000   179        7          54         
17         -15.00000  -9.00000   6          8          43         
18         -15.00000  -8.00000   528        6          56         
19         -9.00000   -6.00000   2832       8          51         
20         -14.00000  -4.00000   1514       1          52         
21         3.00000    6.00000    889        1          39         
22         5.00000    9.00000    2554       1          34         
23         5.00000    10.00000   1215       4          49         
24         2.00000    8.00000    1810       1          36         
25         1.00000    9.00000    3050       2          45         
26         1.00000    10.00000   4          9          56         
27         2.00000    9.00000    1563       1          49         
28         6.00000    14.00000   741        1          38         
29         5.00000    12.00000   1532       1          37         
30         3.00000    7.00000    709        1          43         
31         4.00000    8.00000    1022       1          51         
32         -6.00000   1.00000    883        4          37         
33         -6.00000   2.00000    1689       6          49         
34         -8.00000   -2.00000   10235      5          43         
35         -7.00000   2.00000    29         5          52         
36         -7.00000   -3.00000   2894       7          43         
37         -7.00000   -2.00000   450        9          50         
38         -20.00000  12.00000   411        6          49         
39         -20.00000  13.00000   207        4          46         
40         -12.00000  10.00000   496        4          40         
41         -20.00000  15.00000   1021       7          44         
42         -6.00000   8.00000    117        2          35         
43         2.00000    21.00000   46         5          39         
44         2.00000    22.00000   8          5          56         
45         1.00000    21.00000   18         5          40         
46         -1.00000   24.00000   561        7          45         
47         1.00000    22.00000   1877       1          51         
48         -2.00000   20.00000   3542       7          46         
49         -2.00000   21.00000   801        1          52         
50         -4.00000   18.00000   967        6          41         
51         -4.00000   19.00000   62         5          38         
52         -5.00000   18.00000   1366       8          42         
53         -5.00000   26.00000   230        6          42         
54         1.00000    23.00000   4          7          49         
55         -6.00000   5.00000    12         1          49         
56         -6.00000   6.00000    145        2          50         
57         -9.00000   6.00000    7149       1          50         
58         -9.00000   7.00000    2250       1          41         
59         -12.00000  5.00000    383        5          38         
60         -12.00000  6.00000    134        8          52         
61         -11.00000  3.00000    1947       6          47         
62         -11.00000  4.00000    182        9          46         
63         -14.00000  4.00000    3934       3          44         
64         -14.00000  5.00000    468        1          40         
65         -15.00000  4.00000    18         8          50         
66         -15.00000  5.00000    133        4          52         
67         -16.00000  7.00000    2340       9          43         
68         -16.00000  8.00000    754        6          39         
69         -15.00000  10.00000   1264       5          44         
70         -20.00000  10.00000   806        9          55         
71         -5.00000   19.00000   3665       3          37         
72         -9.00000   -11.00000  2452       1          48         
