NAME: M-n200-k16_3 
DIMENSION: 200 
CAPACITY: 200 
VEHICLES: 16 
No         x_pos      y_pos      demand     release    due        
1          35.00000   35.00000   0          0          999999999  
2          41.00000   49.00000   10         6          74         
3          35.00000   17.00000   7          8          87         
4          55.00000   45.00000   13         1          53         
5          55.00000   20.00000   19         8          60         
6          15.00000   30.00000   26         11         90         
7          25.00000   30.00000   3          10         78         
8          20.00000   50.00000   5          10         81         
9          10.00000   43.00000   9          2          56         
10         55.00000   60.00000   16         4          79         
11         30.00000   60.00000   16         7          61         
12         20.00000   65.00000   12         12         75         
13         50.00000   35.00000   19         2          70         
14         30.00000   25.00000   23         10         65         
15         15.00000   10.00000   20         2          65         
16         30.00000   5.00000    8          5          76         
17         10.00000   20.00000   19         6          78         
18         5.00000    30.00000   2          12         65         
19         20.00000   40.00000   12         10         68         
20         15.00000   60.00000   17         3          53         
21         45.00000   65.00000   9          2          54         
22         45.00000   20.00000   11         6          75         
23         45.00000   10.00000   18         2          72         
24         55.00000   5.00000    29         5          73         
25         65.00000   35.00000   3          4          55         
26         65.00000   20.00000   6          7          66         
27         45.00000   30.00000   17         7          65         
28         35.00000   40.00000   16         5          83         
29         41.00000   37.00000   16         9          78         
30         64.00000   42.00000   9          1          79         
31         40.00000   60.00000   21         5          76         
32         31.00000   52.00000   27         7          70         
33         35.00000   69.00000   23         5          58         
34         53.00000   52.00000   11         10         82         
35         65.00000   55.00000   14         1          59         
36         63.00000   65.00000   8          8          78         
37         2.00000    60.00000   5          2          58         
38         20.00000   20.00000   8          3          73         
39         5.00000    5.00000    16         5          67         
40         60.00000   12.00000   31         11         63         
41         40.00000   25.00000   9          3          76         
42         42.00000   7.00000    5          7          57         
43         24.00000   12.00000   5          9          59         
44         23.00000   3.00000    7          9          70         
45         11.00000   14.00000   18         12         77         
46         6.00000    38.00000   16         8          77         
47         2.00000    48.00000   1          6          79         
48         8.00000    56.00000   27         3          71         
49         13.00000   52.00000   36         10         61         
50         6.00000    68.00000   30         1          69         
51         47.00000   47.00000   13         7          56         
52         49.00000   58.00000   10         12         71         
53         27.00000   43.00000   9          1          64         
54         37.00000   31.00000   14         3          77         
55         57.00000   29.00000   18         11         66         
56         63.00000   23.00000   2          11         76         
57         53.00000   12.00000   6          8          74         
58         32.00000   12.00000   7          3          74         
59         36.00000   26.00000   18         11         67         
60         21.00000   24.00000   28         6          69         
61         17.00000   34.00000   3          5          56         
62         12.00000   24.00000   13         6          65         
63         24.00000   58.00000   19         8          82         
64         27.00000   69.00000   10         3          63         
65         15.00000   77.00000   9          11         84         
66         62.00000   77.00000   20         5          63         
67         49.00000   73.00000   25         5          62         
68         67.00000   5.00000    25         12         78         
69         56.00000   39.00000   36         4          76         
70         37.00000   47.00000   6          2          76         
71         37.00000   56.00000   5          8          58         
72         57.00000   68.00000   15         2          65         
73         47.00000   16.00000   25         2          54         
74         44.00000   17.00000   9          8          71         
75         46.00000   13.00000   8          7          55         
76         49.00000   11.00000   18         11         80         
77         49.00000   42.00000   13         1          74         
78         53.00000   43.00000   14         12         71         
79         61.00000   52.00000   3          12         88         
80         57.00000   48.00000   23         12         63         
81         56.00000   37.00000   6          5          62         
82         55.00000   54.00000   26         8          79         
